Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29-Jaehrige,702414,721471,757901,767416,755853,749150,726872,705718,668698,619202,588395,531500,483062,475936,469036,479426,484883,488262,491449,513919,510581,502860,496340,500818,511013,547653,562929,580048,570090,582551,535433,522376
30-Jaehrige,683290,710023,733150,762377,768415,758611,750189,724467,703267,668471,619147,590072,532633,483232,475363,469159,478862,484351,486059,490330,515577,498101,509069,503255,509925,530264,550259,566445,584198,572863,583755,538596
31-Jaehrige,665462,690956,719619,736862,763192,770500,759224,747423,721593,702893,668122,620851,590676,532325,481953,475355,468482,478507,482194,484914,491924,499241,503976,515210,510873,526211,532987,553350,570259,586239,573866,586563
32-Jaehrige,633694,671895,701923,722875,737993,765219,770851,756426,744343,720685,701998,668931,621491,590054,531225,481713,474552,467936,476051,480962,485901,477058,504384,509577,522297,525713,528086,535742,556951,572165,586904,576449
33-Jaehrige,624236,639900,680673,705106,724159,739925,765651,767895,753129,742792,719619,702313,668732,620361,588789,530540,480739,474059,465660,474704,482020,472233,482236,510197,516101,536345,527169,530930,538944,558639,573272,588800
34-Jaehrige,610818,629943,648587,683088,705930,726116,740135,762767,764777,751358,741778,719760,701693,667491,618845,587988,529595,479911,471729,464014,475485,469563,476846,487231,516859,528536,537679,530230,533729,540359,559141,574855
35-Jaehrige,592862,616057,637776,650533,684024,707648,726357,737609,759759,763403,750189,741654,719129,700237,665711,617558,586556,528748,477537,470024,464681,460545,473924,481572,492886,530571,529587,539828,532794,535452,541052,560457
36-Jaehrige,582960,597899,623646,638971,651257,685711,707820,723956,734615,758199,762237,749802,740886,717317,698595,664394,615998,585590,526095,475890,470865,449668,464830,478577,487057,503981,531441,531888,542053,533620,535768,542297
37-Jaehrige,566714,587267,605021,624460,639513,652867,685549,705195,721168,733388,756957,761752,749010,739283,715417,696942,662583,614550,583027,524311,476085,456093,453873,469018,483642,497251,504917,533983,534163,543069,533836,536692
38-Jaehrige,570730,570583,593961,605710,625052,640612,652627,682932,702147,720056,732269,756610,760650,747100,737330,714021,695220,661455,611682,580988,524490,461806,459627,457821,473637,493218,497865,507117,535440,534940,543277,534769
