Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29-Jaehrige,663612,673999,700134,707901,695685,695505,678620,658653,626658,582850,558945,507483,464778,459612,451747,465102,471500,475104,479958,502590,499092,491075,481999,482042,487962,512385,523286,538535,532411,540917,499636,487160
30-Jaehrige,644984,668550,680359,704398,710111,698307,697371,678396,657996,627853,584440,561635,509901,466266,460571,452937,465317,471512,473651,479041,503522,492539,495268,486678,487995,498019,517944,528288,543391,536364,543873,503815
31-Jaehrige,626804,649938,674406,684484,706584,712687,700119,697219,677680,659365,628729,586805,563401,510994,466782,461443,452830,465423,470288,472793,479744,495397,496479,499939,492174,497203,503341,522536,533376,547343,539069,547591
32-Jaehrige,595520,631052,656039,678320,686865,709419,714443,700075,696263,678126,660201,630621,588470,564360,511490,467383,461317,453009,464374,469596,473763,473287,499255,500479,505038,500561,501801,507806,526706,536845,549955,542256
33-Jaehrige,587428,599700,636528,659886,680596,689698,711283,714275,699097,696616,678694,661912,631977,589176,564530,512006,467249,461615,452010,463573,470337,467930,476648,503081,505079,512875,505012,505949,511849,530061,539082,552979
34-Jaehrige,576836,591112,604701,640268,662389,683205,691572,711225,713101,699501,697111,680238,662993,632541,589277,564652,511643,467091,460654,451330,464293,464605,470965,480322,507740,512133,516797,508976,509626,514842,532171,541700
35-Jaehrige,563103,580358,595684,608310,642780,665000,684847,691592,710385,713871,699816,698474,681058,663363,632351,589332,564068,511639,466180,459908,451911,458118,467494,474474,484850,515394,515876,520393,512390,512634,517045,534525
36-Jaehrige,561085,566469,584616,598992,610665,645298,666551,684948,690805,710851,714344,700868,699059,681060,662676,632033,588739,563809,510686,465498,460313,445255,460737,470570,478458,491704,519009,519324,523622,515142,514453,519036
37-Jaehrige,550554,564102,570646,587522,601171,613070,646908,666778,684223,691484,711207,715147,701545,699164,680606,662406,631261,588523,562575,509963,465648,454315,447891,463710,474312,484559,494747,522512,522353,526099,516839,516341
38-Jaehrige,554803,553144,567874,573617,589550,603544,614444,646911,666191,684667,691821,712080,715813,701375,698833,680225,661541,630833,587420,561491,510062,459567,456664,450630,467299,480310,487725,497611,525329,524539,527541,518454
39-Jaehrige,546320,557370,556289,570590,575605,591484,604621,614612,646258,666814,685035,692713,712700,715641,700997,698521,679252,660962,629587,586506,561716,499631,461881,459295,454252,472497,483075,490577,500405,527675,526125,529056
40-Jaehrige,553755,548451,560392,558650,572424,577559,592584,604742,614066,646764,667410,686002,693319,712675,715098,700539,697539,678772,659669,628623,586579,551398,501782,464328,462502,459589,475288,485768,493223,502448,529235,527360
41-Jaehrige,535258,555752,550940,562268,559960,574080,578696,592557,603978,614462,647124,668312,686581,693407,712367,714611,699626,696885,677554,658758,628655,573174,553128,504019,467300,467556,461879,478122,488232,495161,503765,530491
42-Jaehrige,495035,537101,558168,552727,563286,561172,574911,578727,591945,604281,614854,647871,668804,686487,692978,711854,713620,698892,695415,676304,658459,615826,574871,555059,506780,472076,469802,464448,480318,490040,496302,504988
43-Jaehrige,471217,496465,539075,559623,553817,564525,561697,574645,577951,592012,604450,615440,648084,668695,686187,692436,710969,712888,697370,694090,676106,646200,617164,576696,557547,510837,474234,472346,466735,482170,491144,497430
44-Jaehrige,417171,472000,498090,540056,560258,554809,564976,561310,574022,577970,592090,604822,615636,647871,668180,685636,691348,710184,711352,696120,693636,665873,647571,618966,579006,561222,512426,476447,474272,468273,483234,492000
45-Jaehrige,376997,418195,473370,498840,540573,560871,555083,564675,560433,574076,577980,592421,604857,615396,647276,667622,684546,690489,708663,709974,695571,685674,667014,649023,620979,582482,562689,514160,478323,475713,469316,484089
46-Jaehrige,504152,376659,418935,473918,498949,541057,560960,554584,563869,560200,573992,578260,592421,604427,614842,646595,666531,683633,688903,707289,709414,687675,686405,668124,650747,624114,583694,564343,515871,479401,476614,470050
47-Jaehrige,512931,503776,377154,419103,473751,499199,540950,560240,553835,563489,559934,574018,578152,591955,603659,614143,645656,665618,682092,687370,706301,702860,688004,687004,669462,653581,624889,584985,565711,516858,480118,477017
48-Jaehrige,500404,512932,503795,377020,418795,473661,498776,540115,559256,553447,563082,559780,573842,577655,591132,602868,613066,644602,663918,680622,686377,698687,703098,688428,687907,671607,654117,625809,585955,566218,517210,480436
49-Jaehrige,609162,499997,512881,503137,376437,418516,473207,497774,539071,558541,553112,562701,559338,573232,576845,590314,601655,611990,642994,662142,679481,679359,698645,703380,689133,689375,671780,654763,626442,586228,566324,517110
