Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40-Jaehrige,1385,1497,1484,1456,1535,1464,1374,1342,1392,1334,1383,1320,1364,1252,1214,1169,1117,991,972,898,783,761,658,586,538,603,637,566,611,599,681,689
41-Jaehrige,1367,1593,1636,1543,1598,1572,1577,1468,1478,1418,1465,1396,1373,1400,1356,1311,1193,1114,1086,1004,950,793,804,707,622,665,619,608,698,749,726,726
42-Jaehrige,1456,1597,1600,1637,1702,1741,1666,1655,1621,1572,1582,1555,1531,1565,1574,1411,1382,1264,1217,1066,1109,1019,913,840,808,737,711,643,709,666,708,773
43-Jaehrige,1531,1565,1791,1773,1791,1790,1702,1768,1748,1719,1684,1653,1657,1739,1686,1590,1536,1532,1393,1356,1285,1185,1080,1020,976,909,772,732,736,765,811,894
44-Jaehrige,1292,1701,1679,1855,1951,2005,1961,1838,1731,1788,1850,1746,1799,1738,1780,1741,1765,1634,1548,1550,1451,1350,1315,1181,1062,1029,1037,878,833,790,871,940
45-Jaehrige,1786,1551,1772,1810,2040,2067,2063,2113,1926,1983,1931,1919,2048,1970,1881,1876,1874,1786,1749,1750,1661,1489,1535,1420,1335,1288,1164,1071,966,897,880,986
46-Jaehrige,2334,1928,1613,1977,1909,2049,2191,2246,2085,2055,2098,2133,2087,2157,2074,2065,1937,2006,1999,1893,1813,1757,1657,1668,1457,1449,1353,1291,1173,1015,971,1084
47-Jaehrige,2402,2447,2103,1681,2198,2197,2299,2270,2257,2223,2200,2286,2272,2320,2203,2214,2181,2174,2122,2151,2143,1988,1883,1809,1746,1715,1588,1438,1376,1334,1104,1213
48-Jaehrige,2978,2656,2697,2334,1817,2243,2231,2343,2477,2422,2440,2375,2415,2441,2343,2374,2317,2442,2305,2382,2214,2216,2106,2099,2006,1939,1865,1743,1580,1540,1475,1355
49-Jaehrige,3561,3316,2738,2936,2489,2041,2395,2375,2498,2555,2662,2530,2591,2609,2530,2537,2531,2523,2553,2505,2497,2402,2426,2407,2265,2248,2172,1932,1934,1768,1749,1797
50-Jaehrige,4270,4038,3617,3139,3092,2604,2170,2583,2480,2745,2741,2727,2856,2835,2694,2707,2645,2674,2677,2676,2645,2679,2607,2540,2584,2548,2417,2252,2257,2008,1995,2067
51-Jaehrige,4335,4582,4113,3688,3208,3298,2762,2238,2645,2691,2937,2945,2945,2915,2821,2916,2997,2889,2814,3042,3086,2986,2831,2937,2776,2764,2722,2580,2539,2352,2350,2401
52-Jaehrige,4369,4664,4881,4446,4081,3479,3636,2895,2300,2873,2821,3044,3297,3239,3211,3182,3132,3091,3137,3084,3068,3150,3175,3170,3079,3197,3048,2905,2893,2736,2650,2782
